clinician_id,first_name,last_name,specialty,license_number,weekly_capacity_visits,zip_code,state,active,hire_date,created_at
CLIN-0001,Richard,Perkins,Social Worker,LIC-5247Xr,23,52118,NE,True,2024-02-07,2024-03-26T05:20:10.415294
CLIN-0002,Matthew,Hoffman,Occupational Therapist,LIC-6298vV,19,33248,FL,True,2020-08-30,2025-07-27T06:27:15.187944
CLIN-0003,Jasmine,Fritz,Home Health Aide,LIC-7924gv,22,62736,CO,True,2019-08-07,2022-11-27T01:44:56.881780
CLIN-0004,Deanna,Villa,Home Health Aide,LIC-3835rn,29,86923,LA,False,2021-08-19,2022-01-31T15:54:06.283397
CLIN-0005,Kaitlyn,Sanchez,Occupational Therapist,LIC-9061zU,30,71070,FL,True,2020-09-17,2022-12-26T13:39:10.885544
CLIN-0006,Danielle,Gilbert,Occupational Therapist,LIC-8161wo,27,88818,NY,True,2019-01-05,2022-07-01T15:46:51.675427
CLIN-0007,Kimberly,Rios,Physical Therapist,LIC-7103bF,31,27792,NJ,True,2019-05-24,2020-05-16T15:03:28.023443
CLIN-0008,Hayley,Hampton,Speech Therapist,LIC-0148NB,28,63674,OH,True,2025-07-29,2020-02-14T06:43:00.773726
CLIN-0009,Paula,Hughes,Home Health Aide,LIC-4931ih,29,37918,MO,True,2024-08-12,2023-10-04T20:56:06.480649
CLIN-0010,Kenneth,Mejia,Home Health Aide,LIC-6254jV,23,76280,MP,True,2023-05-29,2022-06-19T22:43:47.297040
CLIN-0011,Jacqueline,Cooper,Social Worker,LIC-6339gD,27,18679,WA,True,2025-10-15,2025-06-18T04:35:24.406873
CLIN-0012,Brianna,Lam,Social Worker,LIC-0369qG,18,87656,CO,False,2026-04-16,2020-09-11T15:37:49.811771
CLIN-0013,Dawn,Park,Home Health Aide,LIC-6497fN,30,54240,NV,True,2026-04-05,2020-02-29T07:02:55.081922
CLIN-0014,Evelyn,Pierce,Home Health Aide,LIC-3539hc,19,14247,MS,True,2019-03-16,2022-03-22T05:34:51.051005
CLIN-0015,Kiara,Johnson,Occupational Therapist,LIC-6399rU,25,77191,AZ,True,2024-06-08,2020-07-07T11:57:15.885830
CLIN-0016,Jeremy,Nelson,Registered Nurse,LIC-4376EQ,33,27386,TX,True,2020-07-14,2025-01-16T03:41:50.630935
CLIN-0017,Juan,Petersen,Social Worker,LIC-8410eB,20,65201,PA,True,2020-01-29,2020-06-20T08:44:02.787956
CLIN-0018,John,Stephens,Occupational Therapist,LIC-1604LP,23,93611,OR,True,2023-08-25,2020-07-11T12:26:50.525065
CLIN-0019,Angel,Allison,Registered Nurse,LIC-2028JA,28,55157,DE,True,2021-07-30,2023-06-15T21:46:09.049521
CLIN-0020,Antonio,Hanna,Occupational Therapist,LIC-9903sj,24,16490,PR,True,2024-07-02,2021-08-20T17:36:03.054721
CLIN-0021,Paula,Michael,Registered Nurse,LIC-4842dn,29,42345,ID,True,2018-12-11,2020-05-22T07:31:52.550530
CLIN-0022,Timothy,Joyce,Registered Nurse,LIC-1791nI,18,50591,AR,True,2018-12-26,2024-12-30T02:05:10.599618
CLIN-0023,Corey,Miles,Speech Therapist,LIC-1713iY,31,92962,CT,False,2023-01-03,2021-12-18T09:52:37.874732
CLIN-0024,Melanie,Smith,Speech Therapist,LIC-2470kH,33,73330,AS,True,2023-08-02,2021-11-01T18:57:59.524293
CLIN-0025,David,Pittman,Occupational Therapist,LIC-7452FS,35,10342,WI,True,2025-10-11,2021-05-09T02:55:22.965819
CLIN-0026,Ryan,Sweeney,Speech Therapist,LIC-5764Bm,25,79825,CA,True,2020-04-03,2025-01-02T08:44:29.440005
CLIN-0027,Christopher,Hardin,Registered Nurse,LIC-7491Qy,19,16506,WY,True,2022-12-19,2021-10-25T16:41:34.480870
CLIN-0028,John,Hernandez,Occupational Therapist,LIC-5401Tp,26,11301,PW,False,2021-01-11,2022-02-07T13:18:23.435989
CLIN-0029,Robert,Alvarado,Registered Nurse,LIC-2616Jq,28,45641,MA,True,2019-09-07,2022-01-19T06:17:22.589410
CLIN-0030,Katherine,Crawford,Speech Therapist,LIC-4102Ox,23,37593,NM,True,2024-02-10,2020-05-30T17:01:21.066206
CLIN-0031,Jasmine,Silva,Home Health Aide,LIC-9948Hw,20,56327,MS,True,2023-03-07,2023-03-20T17:10:52.373864
CLIN-0032,Tina,Harper,Home Health Aide,LIC-0051LO,33,92350,VA,True,2021-01-26,2022-11-12T14:02:44.610064
CLIN-0033,Sheila,Stark,Speech Therapist,LIC-3558sj,23,24648,NV,True,2023-06-14,2020-07-19T08:44:39.489265
CLIN-0034,Eric,Powell,Speech Therapist,LIC-5650qy,23,01548,NJ,True,2018-07-11,2020-04-09T07:21:44.385719
CLIN-0035,Kelly,Duarte,Occupational Therapist,LIC-4130yG,24,85472,MT,False,2025-03-26,2021-08-27T08:44:29.264399
CLIN-0036,Kristin,Hunt,Speech Therapist,LIC-1006AI,35,79079,AR,True,2023-09-21,2026-04-10T06:11:47.968850
CLIN-0037,Linda,Garcia,Social Worker,LIC-2820EA,35,22586,ID,True,2022-05-10,2020-09-15T02:10:10.608302
CLIN-0038,Michael,Sparks,Occupational Therapist,LIC-2232Jj,27,24222,HI,True,2022-10-17,2021-10-20T05:24:05.683597
CLIN-0039,Amanda,Ruiz,Registered Nurse,LIC-2835ML,30,78553,ME,True,2018-08-08,2021-09-24T17:56:49.953488
CLIN-0040,Benjamin,Potter,Speech Therapist,LIC-4791ox,22,13841,VT,True,2019-04-09,2021-07-24T23:21:34.630859
